"","Df","Deviance","Resid. Df","Resid. Dev","Pr(>Chi)"
"NULL",NA,NA,30890,21827.354854508,NA
"age",1,23.0293108416263,30889,21804.3255436664,1.59550239512907e-06
"job",11,595.980200758993,30878,21208.3453429074,1.01433424498937e-120
"marital",3,62.6083754726606,30875,21145.7369674348,1.62853815176059e-13
"education",7,51.0077061942829,30868,21094.7292612405,9.15557429120783e-09
"default",2,339.022119046214,30866,20755.7071421943,2.41147202175919e-74
"housing",2,2.87997794271359,30864,20752.8271642515,0.236930371688246
"loan",1,0.886168891025591,30863,20751.9409953605,0.346517618018929
"contact",1,511.345559319787,30862,20240.5954360407,3.23191725908938e-113
"month",9,1054.44006046337,30853,19186.1553755774,3.12942625212565e-221
"day_of_week",4,32.6196429915544,30849,19153.5357325858,1.42898316672482e-06
"poutcome",2,968.464643433468,30847,18185.0710891523,5.01850913738119e-211
"duration",1,3972.10737375877,30846,14212.9637153936,0
"campaign",1,40.8199801389601,30845,14172.1437352546,1.66917750346995e-10
"pdays",1,55.1302763295444,30844,14117.0134589251,1.12799923110329e-13
"previous",1,7.17016824651546,30843,14109.8432906786,0.00741258226412996
"emp.var.rate",1,918.369383869291,30842,13191.4739068093,9.96739947656397e-202
"cons.price.idx",1,337.539158617226,30841,12853.934748192,2.19181410243904e-75
"cons.conf.idx",1,13.319772622488,30840,12840.6149755695,0.000262622021644905
"euribor3m",1,17.400365327132,30839,12823.2146102424,3.0276777564995e-05
"nr.employed",1,2.99833264604422,30838,12820.2162775964,0.0833502553701199
